date,datetime_utc,image_id,cloudy_pixel_percentage,valid_pixel_pct,is_valid_satellite_obs,NDVI_mean,NDVI_median,NDVI_stdDev,EVI_mean,EVI_median,EVI_stdDev,SAVI_mean,SAVI_median,SAVI_stdDev,NDRE_mean,NDRE_median,NDRE_stdDev,candidate_rank
2025-12-03,2025-12-03 15:31:40,20251203T152649_20251203T152647_T18NWL,46.991003,26.71263326884289,False,0.3631966987572436,0.3241365756959515,0.3347448165965769,0.1091284877344695,0.0714333727121279,0.1270368942361716,0.1078906965486273,0.0719066767629382,0.1189900986851186,0.2570065202621867,0.207090186739093,0.2762630772345805,1
2025-12-03,2025-12-03 15:31:36,20251203T152649_20251203T152647_T18NXL,59.830081,0.0,False,,,,,,,,,,,,,2
2025-12-08,2025-12-08 15:31:53,20251208T152701_20251208T152837_T18NWL,26.714849,58.30980117729388,True,0.391508025958952,0.3885204549194175,0.1786014920257431,0.3153479154329123,0.2953680678132407,0.1554373034501092,0.2496477674825738,0.2322968155606682,0.1251054357223827,0.2531699659120527,0.2439134974118088,0.1247437006465375,1
2025-12-08,2025-12-08 15:31:49,20251208T152701_20251208T152837_T18NXL,38.752955,58.30980117729388,True,0.3972895104252933,0.3924418566236636,0.190146344697524,0.3251532204730125,0.3068025830190606,0.1661828144525822,0.2557875413982114,0.2364911645231792,0.1340701464104611,0.2554420411683014,0.2438187746864383,0.1314202352266142,2
2025-12-13,2025-12-13 15:31:42,20251213T152649_20251213T152650_T18NWL,40.386909,0.0,False,,,,,,,,,,,,,1
2025-12-13,2025-12-13 15:31:39,20251213T152649_20251213T152650_T18NXL,65.388685,0.0,False,,,,,,,,,,,,,2
2025-12-18,2025-12-18 15:31:52,20251218T152701_20251218T152837_T18NWL,58.380443,92.0093579769206,True,0.3467534095858315,0.3381218957211683,0.1766226043420122,0.2685498620067851,0.2358366164519905,0.1629162689497567,0.2141612811411734,0.1892792002168835,0.1285759697311898,0.2250747348582453,0.2050604281188304,0.1422113150298984,1
2025-12-18,2025-12-18 15:31:49,20251218T152701_20251218T152837_T18NXL,36.671311,91.90260568888154,True,0.3507598223379549,0.3456164050245851,0.1851325316407112,0.2776021351564234,0.2436578989525664,0.1731257163664198,0.2185478755058379,0.1936599217697877,0.1356199894122671,0.2396093570657576,0.2283791993596221,0.1436217721976654,2
2025-12-23,2025-12-23 15:31:40,20251223T152649_20251223T152651_T18NXL,35.32373,10.378435488961154,False,0.6277773284491898,0.6866957792546714,0.1338127568935261,0.3611377359590264,0.3653648931366782,0.1019761551124297,0.3134889406686283,0.3250075131642319,0.083747578300368,0.4818360047350559,0.5096044748929124,0.1181015616759855,1
2025-12-23,2025-12-23 15:31:44,20251223T152649_20251223T152651_T18NWL,35.522133,9.642283785452598,False,0.6438416565299168,0.6934152879518829,0.1237769600590281,0.3613932454180251,0.3599360450296684,0.0924147087526074,0.3211209978944133,0.3313744836351823,0.0770979413899773,0.4928202194915333,0.5164744625742922,0.1159906483342354,2
