date,year,month,day,year_month,iso_year,iso_week,week_id,doy,n_records,pct_day_records,is_valid_day,is_valid_day_by_coverage,is_valid_day_by_et,is_valid_day_by_temp,is_valid_day_by_rh,is_valid_day_by_rad,is_valid_day_analysis,et_base_out_mm_d,et_out_daily,et_out_daily_last,et_out_daily_max,et_out_last_minus_max,temp_out_mean,temp_out_min,temp_out_max,temp_range_out_c,rh_out_mean,rh_out_min,rh_out_max,rh_range_out_pct,rad_out_mean,rad_out_max,rad_acc_out_daily_max,par_out_mean,dli_out_max,vpd_out_mean,vpd_out_max,vpd_rad_product,dewpoint_out_mean,et_rad_ratio,flag_et_jump_high,flag_et_zero,flag_vpd_high_z,flag_temp_high_z
2025-08-21,2025,8,21,2025-08,2025,34,2025-W34,233,263,91.31944444444444,True,True,True,True,True,True,True,1.95,1.95,1.9,1.95,-0.05,15.49125475285171,9.5,21.2,11.7,64.95057034220532,48,83,35,116.18859315589351,970.89,916.73,308.0713307984791,24.31,0.6613307984790875,1.21,76.8390950859489,8.731254752851711,0.016783058878969557,False,False,False,False
2025-08-22,2025,8,22,2025-08,2025,34,2025-W34,234,275,95.48611111111111,True,True,True,True,True,True,True,2.4,2.4,2.3,2.4,-0.1,14.942545454545456,9.7,22.8,13.100000000000001,71.84363636363636,45,88,43,155.8804,1057.84,1286.01,401.4402181818182,33.12,0.5387636363636363,1.47,83.98269114181818,9.588618181818182,0.01539641930608338,False,False,False,False
2025-08-23,2025,8,23,2025-08,2025,34,2025-W34,235,282,97.91666666666666,True,True,True,True,True,True,True,2.06,2.06,2.0,2.06,-0.06,15.49255319148936,11.5,21.1,9.600000000000001,67.44326241134752,49,89,40,118.39578014184396,971.69,1001.63,312.1108865248227,26.4,0.6147517730496455,1.25,72.78401576379457,9.237624113475178,0.017399268770660736,False,False,False,False
2025-08-24,2025,8,24,2025-08,2025,34,2025-W34,236,276,95.83333333333334,True,True,True,True,True,True,True,2.6,2.6,2.55,2.6,-0.0500000000000002,15.080072463768117,8.5,21.2,12.7,65.28985507246377,45,90,45,181.1159420289855,1132.75,1499.64,467.4469565217392,38.7,0.6671739130434783,1.38,120.83583175803403,8.253804347826087,0.014355445306873651,False,False,False,False
2025-08-25,2025,8,25,2025-08,2025,35,2025-W35,237,277,96.18055555555556,True,True,True,True,True,True,True,1.96,1.96,1.92,1.96,-0.04,14.408664259927797,10.5,18.3,7.800000000000001,69.13357400722022,55,85,30,118.86010830324908,1050.62,987.73,310.873357400722,25.83,0.5303610108303249,0.93,63.03876718711308,8.684657039711192,0.01648997319604851,False,False,False,False
2025-08-26,2025,8,26,2025-08,2025,35,2025-W35,238,277,96.18055555555556,True,True,True,True,True,True,True,1.79,1.79,1.74,1.79,-0.05,14.300361010830324,10.7,19.8,9.100000000000001,69.42238267148015,56,81,25,96.83696750902529,711.03,804.72,258.64050541516247,21.49,0.5157400722021661,1.01,49.942704614943516,8.7014440433213,0.018484676317782986,False,False,False,False
2025-08-27,2025,8,27,2025-08,2025,35,2025-W35,239,280,97.2222222222222,True,True,True,True,True,True,True,2.09,2.09,2.07,2.09,-0.02,14.30107142857143,11.8,19.6,7.800000000000001,71.21428571428571,52,84,32,128.55985714285714,1120.38,1079.9,325.5823571428571,27.35,0.4870714285714285,1.07,62.61783327551019,9.070964285714286,0.016257018687237407,False,False,False,False
2025-08-28,2025,8,28,2025-08,2025,35,2025-W35,240,274,95.13888888888889,True,True,True,True,True,True,True,2.08,2.08,2.0,2.08,-0.08,14.402189781021898,10.9,17.5,6.6,66.2992700729927,56,77,21,114.59883211678832,1045.49,942.0,298.7991605839416,24.56,0.5611678832116788,0.86,64.30918403750864,8.154890510948904,0.01815027222860579,False,False,False,False
2025-08-29,2025,8,29,2025-08,2025,35,2025-W35,241,259,89.93055555555556,True,True,True,True,True,True,True,2.04,2.04,1.99,2.04,-0.05,14.614285714285714,9.7,21.1,11.400000000000002,64.23552123552123,45,85,40,129.133166023166,972.42,1003.36,338.6581853281853,26.31,0.6387258687258688,1.27,82.48069364946855,7.71069498069498,0.015797645661642275,False,False,False,False
2025-08-30,2025,8,30,2025-08,2025,35,2025-W35,242,261,90.625,True,True,True,True,True,True,True,2.9,2.9,2.82,2.9,-0.08,15.763601532567051,8.7,21.9,13.2,67.46743295019157,41,92,51,223.04402298850573,1161.65,1746.43,548.6629885057472,42.96,0.6654022988505747,1.5,148.41400564143214,9.25697318007663,0.013001917563823028,True,False,False,False
2025-08-31,2025,8,31,2025-08,2025,35,2025-W35,243,277,96.18055555555556,True,True,True,True,True,True,True,2.36,2.36,2.32,2.36,-0.04,15.444765342960288,10.5,20.5,10.0,70.17328519855596,53,91,38,158.3767870036101,1201.32,1316.11,402.9632490974729,33.49,0.568014440433213,1.11,89.96030204746576,9.806317689530683,0.014901173616725822,False,False,False,False
2025-09-01,2025,9,1,2025-09,2025,36,2025-W36,244,279,96.875,True,True,True,True,True,True,True,1.65,1.65,1.62,1.65,-0.0299999999999998,14.244086021505376,9.2,19.3,10.100000000000001,71.49820788530467,53,87,34,94.46534050179211,810.58,790.67,251.71498207885304,21.07,0.4926523297491039,1.05,46.53857007875027,9.020967741935484,0.01746672368125003,False,False,False,False
2025-09-02,2025,9,2,2025-09,2025,36,2025-W36,245,281,97.56944444444444,True,True,True,True,True,True,True,2.36,2.36,2.31,2.36,-0.0499999999999998,14.927402135231318,10.8,20.5,9.7,69.65124555160142,53,90,37,158.39099644128115,1107.68,1335.24,399.3057651245552,33.66,0.5555160142348754,1.1,87.98873503375084,9.226405693950175,0.014899836815376695,False,False,False,False
2025-09-03,2025,9,3,2025-09,2025,36,2025-W36,246,278,96.5277777777778,True,True,True,True,True,True,True,2.24,2.24,2.22,2.24,-0.02,14.800359712230216,8.8,21.5,12.7,69.39568345323741,50,87,37,151.38255395683453,1465.32,1262.53,378.57122302158274,31.57,0.5707553956834532,1.27,86.4024094832048,9.00654676258993,0.014796949459834834,False,False,False,False
2025-09-04,2025,9,4,2025-09,2025,36,2025-W36,247,274,95.13888888888889,True,True,True,True,True,True,True,2.14,2.14,2.09,2.14,-0.0500000000000002,14.447080291970805,10.3,19.4,9.099999999999998,70.98540145985402,52,90,38,145.50087591240876,1162.59,1196.02,371.8627737226277,30.57,0.5104014598540145,1.07,74.26385947573125,9.066751824817516,0.014707815238777504,False,False,False,False
2025-09-05,2025,9,5,2025-09,2025,36,2025-W36,248,242,84.02777777777779,True,True,True,True,True,True,True,2.16,2.16,2.14,2.16,-0.02,15.12685950413223,11.3,21.3,10.0,71.4297520661157,55,88,33,159.01252066115703,1059.42,1154.43,405.325,29.43,0.5216942148760331,1.14,82.9559121217813,9.838471074380164,0.013583835983600231,False,False,False,False
2025-09-06,2025,9,6,2025-09,2025,36,2025-W36,249,114,39.58333333333333,False,False,True,True,True,True,False,0.85,0.85,0.85,0.85,0.0,12.917543859649122,11.0,17.9,6.899999999999999,76.93859649122807,58,86,28,56.28578947368421,366.55,192.5,150.33289473684212,5.14,0.3608771929824561,0.86,20.31225771006463,8.873771929824562,0.015101502669646447,False,False,False,False
2025-09-07,2025,9,7,2025-09,2025,36,2025-W36,250,205,71.18055555555556,False,False,True,True,True,True,False,2.17,2.17,1.99,2.17,-0.1799999999999999,15.30439024390244,11.8,20.8,9.0,72.92682926829268,50,86,36,164.28478048780485,1062.52,1010.35,420.163512195122,25.84,0.5108780487804878,1.21,83.9294880999405,10.239658536585369,0.013208770730658662,False,False,False,False
2025-09-08,2025,9,8,2025-09,2025,37,2025-W37,251,281,97.56944444444444,True,True,True,True,True,True,True,2.08,2.08,2.02,2.08,-0.06,15.053736654804272,11.1,20.9,9.799999999999999,67.99644128113879,52,85,33,121.30950177935944,1021.07,1022.64,315.04875444839854,26.56,0.5825978647686832,1.14,70.67465671280759,9.023701067615658,0.017146224899869368,False,False,False,False
2025-09-09,2025,9,9,2025-09,2025,37,2025-W37,252,278,96.5277777777778,True,True,True,True,True,True,True,1.85,1.85,1.81,1.85,-0.04,14.938489208633092,9.3,20.2,10.899999999999999,68.22302158273381,52,89,37,101.87158273381294,800.19,849.61,271.0643884892086,22.61,0.5789208633093526,1.11,58.97558462294912,8.927985611510792,0.018160118360328107,False,False,False,False
2025-09-10,2025,9,10,2025-09,2025,37,2025-W37,253,431,149.65277777777777,True,True,True,True,True,True,True,1.91,1.91,1.87,1.91,-0.0399999999999998,15.239675174013922,9.6,22.4,12.799999999999999,68.46403712296984,51,89,38,112.21155452436194,972.81,908.71,298.1459860788863,24.06,0.5871461716937355,1.28,65.88458465878198,9.280580046403712,0.017021420014151262,False,False,False,False
2025-09-11,2025,9,11,2025-09,2025,37,2025-W37,254,458,159.02777777777777,True,True,True,True,True,True,True,2.89,2.89,2.83,2.89,-0.06,15.96943231441048,11.2,21.1,9.900000000000002,66.14847161572052,49,87,38,154.6186244541485,1060.0,1560.49,395.01502183406114,39.32,0.6481441048034935,1.25,100.21514993278161,9.491266375545852,0.01869115063080268,False,False,False,False
