date,pct_day_records,is_valid_day_analysis,et_base_out_mm_d,temp_out_mean,rh_out_mean,rad_out_mean,vpd_out_mean,flag_et_jump_high,flag_et_zero,flag_vpd_high_z,flag_temp_high_z
2025-11-15,97.56944444444444,True,1.23,14.295373665480428,83.91103202846975,56.65861209964413,0.2755516014234875,False,False,False,False
2025-11-16,97.91666666666666,True,2.2,15.05354609929078,78.66666666666667,142.5886524822695,0.4065602836879433,False,False,False,False
2025-11-17,98.61111111111111,True,2.09,15.825704225352112,76.08802816901408,124.56246478873238,0.4801760563380282,False,False,False,False
2025-11-18,87.5,True,2.01,15.14563492063492,77.42857142857143,127.66896825396825,0.4721428571428571,False,False,False,False
2025-11-19,95.83333333333334,True,1.67,15.011231884057972,72.89855072463769,89.61166666666666,0.5192753623188405,False,False,False,False
2025-11-20,93.05555555555556,True,1.59,13.460074626865673,79.55223880597015,84.91914179104477,0.3654104477611941,False,False,False,False
2025-11-21,96.875,True,1.63,13.008960573476704,85.93548387096774,98.67283154121864,0.265663082437276,False,False,False,False
2025-11-22,98.26388888888889,True,2.33,15.803886925795052,75.09893992932862,146.70424028268553,0.5274911660777385,False,False,False,False
2025-11-23,98.26388888888889,True,2.25,15.894699646643108,74.71378091872792,133.95296819787987,0.517243816254417,False,False,False,False
2025-11-24,96.875,True,1.61,15.413620071684589,73.59139784946237,74.908458781362,0.4887813620071685,False,False,False,False
2025-11-25,96.5277777777778,True,2.1,15.99568345323741,71.44244604316546,124.84158273381294,0.5559352517985612,False,False,False,False
2025-11-26,98.26388888888889,True,2.03,15.871024734982331,67.32155477031802,101.89095406360424,0.6136042402826856,False,False,False,False
2025-11-27,98.95833333333334,True,2.32,16.223859649122808,66.08070175438597,127.6982807017544,0.6686666666666666,False,False,False,False
2025-11-28,98.26388888888889,True,1.94,14.96643109540636,69.64310954063605,108.33448763250884,0.5391166077738516,False,False,False,False
2025-11-29,98.26388888888889,True,2.04,14.689752650176676,75.90812720848056,117.90975265017669,0.4513427561837456,False,False,False,False
2025-11-30,98.61111111111111,True,2.34,15.058802816901409,74.94718309859155,141.4900352112676,0.4815492957746478,False,False,False,False
2025-12-10,97.91666666666666,True,1.81,14.452127659574469,80.18794326241135,110.45003546099292,0.3532978723404255,False,False,False,False
2025-12-11,98.61111111111111,True,2.06,15.351408450704223,77.70774647887323,117.74697183098591,0.4533802816901408,False,False,False,False
2025-12-12,98.61111111111111,True,2.13,15.393309859154929,66.36971830985915,117.5436971830986,0.6290845070422535,False,False,False,False
2025-12-13,98.61111111111111,True,2.06,14.373239436619718,69.73591549295774,124.78045774647887,0.5775352112676057,False,False,False,False
2025-12-14,98.95833333333334,True,2.17,14.282456140350876,74.43859649122807,137.9297894736842,0.5045263157894737,False,False,False,False
2025-12-15,97.91666666666666,True,2.19,14.664539007092197,75.42198581560284,140.50620567375887,0.4734042553191489,False,False,False,False
2025-12-16,96.875,True,2.21,15.621863799283156,74.77060931899642,128.1384946236559,0.4885304659498208,False,False,False,False
2025-12-17,97.56944444444444,True,2.07,14.823843416370106,80.54804270462634,129.1570106761566,0.3835943060498221,False,False,False,False
2025-12-18,98.26388888888889,True,1.8,14.882332155477032,81.97879858657244,102.1905300353357,0.3468551236749116,False,False,False,False
2025-12-19,97.2222222222222,True,2.28,15.621071428571428,77.31428571428572,140.72185714285715,0.4649285714285714,False,False,False,False
2025-12-20,97.2222222222222,True,1.59,15.477857142857143,73.00357142857143,77.4992857142857,0.5135,False,False,False,False
2025-12-21,76.73611111111111,False,1.1,14.023076923076925,80.04524886877829,21.78733031674208,0.3380542986425339,False,False,False,False
2025-12-22,98.95833333333334,True,1.79,15.437894736842106,77.12982456140351,92.26326315789473,0.4411228070175438,False,False,False,False
2025-12-23,97.91666666666666,True,2.12,15.738652482269504,76.52127659574468,125.02702127659576,0.4671985815602837,False,False,False,False
2025-12-24,97.91666666666666,True,2.4,16.335106382978722,73.29078014184397,142.51294326241134,0.5330141843971631,False,False,False,False
