date,datetime_utc,image_id,cloudy_pixel_percentage,valid_pixel_pct,is_valid_satellite_obs,NDVI_mean,NDVI_median,NDVI_stdDev,EVI_mean,EVI_median,EVI_stdDev,SAVI_mean,SAVI_median,SAVI_stdDev,NDRE_mean,NDRE_median,NDRE_stdDev
2025-11-30,2025-11-30 15:31:58,20251130T152711_20251130T152709_T18NXL,51.447558,44.6068140342211,True,0.4800820785798972,0.47077229582731245,0.21136336747099632,0.441646933607553,0.4336279695568534,0.2031994721052321,0.3431738390780317,0.3298816404264373,0.16637201608958177,0.3548846610229493,0.34580287530150666,0.1670253907503834
2025-12-03,2025-12-03 15:31:40,20251203T152649_20251203T152647_T18NWL,46.991003,26.71263326884289,False,0.3631966987572436,0.32413657569595156,0.3347448165965769,0.10912848773446956,0.07143337271212796,0.12703689423617162,0.10789069654862737,0.0719066767629382,0.11899009868511863,0.2570065202621867,0.20709018673909305,0.27626307723458055
2025-12-03,2025-12-03 15:31:36,20251203T152649_20251203T152647_T18NXL,59.830081,0.0,False,,,,,,,,,,,,
2025-12-08,2025-12-08 15:31:53,20251208T152701_20251208T152837_T18NWL,26.714849,58.30980117729388,True,0.39150802595895207,0.3885204549194175,0.17860149202574313,0.3153479154329123,0.29536806781324076,0.15543730345010923,0.24964776748257386,0.23229681556066825,0.12510543572238275,0.25316996591205276,0.2439134974118088,0.12474370064653754
2025-12-08,2025-12-08 15:31:49,20251208T152701_20251208T152837_T18NXL,38.752955,58.30980117729388,True,0.39728951042529337,0.39244185662366365,0.19014634469752403,0.3251532204730125,0.30680258301906066,0.1661828144525822,0.25578754139821147,0.2364911645231792,0.1340701464104611,0.25544204116830144,0.2438187746864383,0.13142023522661422
2025-12-10,2025-12-10 15:31:59,20251210T152941_20251210T152935_T18NWL,48.168686,0.0,False,,,,,,,,,,,,
2025-12-13,2025-12-13 15:31:42,20251213T152649_20251213T152650_T18NWL,40.386909,0.0,False,,,,,,,,,,,,
2025-12-13,2025-12-13 15:31:39,20251213T152649_20251213T152650_T18NXL,65.388685,0.0,False,,,,,,,,,,,,
2025-12-18,2025-12-18 15:31:52,20251218T152701_20251218T152837_T18NWL,58.380443,92.00935797692061,True,0.34675340958583156,0.3381218957211683,0.1766226043420122,0.26854986200678516,0.23583661645199053,0.16291626894975675,0.2141612811411734,0.18927920021688352,0.1285759697311898,0.22507473485824536,0.20506042811883046,0.14221131502989845
2025-12-18,2025-12-18 15:31:49,20251218T152701_20251218T152837_T18NXL,36.671311,91.90260568888154,True,0.35075982233795494,0.3456164050245851,0.18513253164071128,0.2776021351564234,0.2436578989525664,0.17312571636641985,0.21854787550583799,0.19365992176978777,0.1356199894122671,0.23960935706575764,0.22837919935962217,0.14362177219766542
2025-12-20,2025-12-20 15:31:58,20251220T152711_20251220T152709_T18NXL,69.024318,0.0,False,,,,,,,,,,,,
2025-12-23,2025-12-23 15:31:44,20251223T152649_20251223T152651_T18NWL,35.522133,9.642283785452598,False,0.6438416565299168,0.6934152879518829,0.12377696005902811,0.36139324541802514,0.3599360450296684,0.09241470875260749,0.32112099789441334,0.33137448363518235,0.07709794138997739,0.4928202194915333,0.5164744625742922,0.11599064833423543
2025-12-23,2025-12-23 15:31:40,20251223T152649_20251223T152651_T18NXL,35.32373,10.378435488961154,False,0.6277773284491898,0.6866957792546714,0.13381275689352617,0.3611377359590264,0.3653648931366782,0.10197615511242977,0.3134889406686283,0.3250075131642319,0.08374757830036805,0.4818360047350559,0.5096044748929124,0.11810156167598551
2025-12-28,2025-12-28 15:31:52,20251228T152701_20251228T152837_T18NWL,27.237046,98.8325855184621,True,0.5608229997836471,0.6381181634916964,0.2854050603271282,0.3893920756791056,0.3832611342915971,0.22720680802584028,0.35947944643222557,0.3652524712044385,0.20651066535114873,0.38159396892366976,0.4188181811815811,0.2116853044943945
2025-12-28,2025-12-28 15:31:48,20251228T152701_20251228T152837_T18NXL,27.863845,98.8325855184621,True,0.5536493546222047,0.6309310541438321,0.28113372288771077,0.39430451358632085,0.3939996862231014,0.22685854714514578,0.35679844372172004,0.36465598998119636,0.2044284932677442,0.37789043071878925,0.41782776741826744,0.20908274694717127
2026-01-07,2026-01-07 15:31:50,20260107T152701_20260107T152834_T18NWL,59.001702,0.0,False,,,,,,,,,,,,
2026-01-07,2026-01-07 15:31:46,20260107T152701_20260107T152834_T18NXL,69.910616,0.0,False,,,,,,,,,,,,
2026-01-09,2026-01-09 15:32:06,20260109T152711_20260109T152714_T18NWL,63.85923,0.0,False,,,,,,,,,,,,
2026-01-09,2026-01-09 15:32:03,20260109T152711_20260109T152714_T18NXL,66.734606,0.0,False,,,,,,,,,,,,
